GEOID,CITY,STATE_ABBR,CBSA_CODE,CBSA_TITLE,S2201_C04_001E,S2201_C04_001M,REL_MOE_PCT,NAME
1768003,Schaumburg,IL,16980,"Chicago-Naperville-Elgin, IL-IN",7.2,2.8,38.888888888888886,"Schaumburg village, Illinois"
1770122,Skokie,IL,16980,"Chicago-Naperville-Elgin, IL-IN",12.0,4.7,39.166666666666664,"Skokie village, Illinois"
1772000,Springfield,IL,44100,"Springfield, IL",20.0,3.6,18.0,"Springfield city, Illinois"
1805860,Bloomington,IN,14020,"Bloomington, IN",7.9,2.8,35.44303797468354,"Bloomington city, Indiana"
1810342,Carmel,IN,26900,"Indianapolis-Carmel-Greenwood, IN",2.0,0.9,45.0,"Carmel city, Indiana"
1822000,Evansville,IN,21780,"Evansville, IN",14.9,2.7,18.120805369127517,"Evansville city, Indiana"
1825000,Fort Wayne,IN,23060,"Fort Wayne, IN",11.2,1.9,16.964285714285715,"Fort Wayne city, Indiana"
1829898,Greenwood,IN,26900,"Indianapolis-Carmel-Greenwood, IN",11.2,3.9,34.82142857142858,"Greenwood city, Indiana"
1836003,Indianapolis city (balance),IN,26900,"Indianapolis-Carmel-Greenwood, IN",11.4,1.5,13.157894736842104,"Indianapolis city (balance), Indiana"
1840788,Lafayette,IN,29200,"Lafayette-West Lafayette, IN",12.6,3.9,30.952380952380953,"Lafayette city, Indiana"
1851876,Muncie,IN,34620,"Muncie, IN",19.0,4.3,22.631578947368418,"Muncie city, Indiana"
1871000,South Bend,IN,43780,"South Bend-Mishawaka, IN-MI",14.9,3.0,20.13422818791946,"South Bend city, Indiana"
2036000,Kansas City,KS,28140,"Kansas City, MO-KS",8.6,2.3,26.744186046511626,"Kansas City city, Kansas"
2038900,Lawrence,KS,29940,"Lawrence, KS",5.9,2.4,40.67796610169491,"Lawrence city, Kansas"
2053775,Overland Park,KS,28140,"Kansas City, MO-KS",2.9,1.3,44.827586206896555,"Overland Park city, Kansas"
2071000,Topeka,KS,45820,"Topeka, KS",10.9,2.6,23.853211009174313,"Topeka city, Kansas"
2079000,Wichita,KS,48620,"Wichita, KS",8.2,1.2,14.634146341463417,"Wichita city, Kansas"
2108902,Bowling Green,KY,14540,"Bowling Green, KY",16.3,4.5,27.60736196319018,"Bowling Green city, Kentucky"
2146027,Lexington-Fayette,KY,30460,"Lexington-Fayette, KY",7.4,1.5,20.27027027027027,"Lexington-Fayette urban county, Kentucky"
2148006,Louisville/Jefferson County metro government (balance),KY,31140,"Louisville/Jefferson County, KY-IN",12.9,1.2,9.30232558139535,"Louisville/Jefferson County metro government (balance), Kentucky"
2205000,Baton Rouge,LA,12940,"Baton Rouge, LA",19.9,3.1,15.577889447236181,"Baton Rouge city, Louisiana"
2240735,Lafayette,LA,29180,"Lafayette, LA",11.8,2.4,20.338983050847457,"Lafayette city, Louisiana"
2241155,Lake Charles,LA,29340,"Lake Charles, LA",24.3,4.8,19.753086419753085,"Lake Charles city, Louisiana"
2250115,Metairie,LA,35380,"New Orleans-Metairie, LA",9.8,3.3,33.6734693877551,"Metairie CDP, Louisiana"
2255000,New Orleans,LA,35380,"New Orleans-Metairie, LA",15.1,1.9,12.582781456953644,"New Orleans city, Louisiana"
2270000,Shreveport,LA,43340,"Shreveport-Bossier City, LA",20.3,3.1,15.270935960591133,"Shreveport city, Louisiana"
2507000,Boston,MA,14460,"Boston-Cambridge-Newton, MA-NH",20.8,1.3,6.25,"Boston city, Massachusetts"
2511000,Cambridge,MA,14460,"Boston-Cambridge-Newton, MA-NH",9.5,2.6,27.368421052631582,"Cambridge city, Massachusetts"
2524960,Framingham,MA,14460,"Boston-Cambridge-Newton, MA-NH",14.6,4.3,29.45205479452055,"Framingham city, Massachusetts"
2545560,Newton,MA,14460,"Boston-Cambridge-Newton, MA-NH",3.5,1.7,48.57142857142857,"Newton city, Massachusetts"
2567000,Springfield,MA,44140,"Springfield, MA",42.6,4.1,9.624413145539904,"Springfield city, Massachusetts"
2572600,Waltham,MA,14460,"Boston-Cambridge-Newton, MA-NH",3.5,2.1,60.0,"Waltham city, Massachusetts"
2582000,Worcester,MA,49340,"Worcester, MA",29.7,3.4,11.447811447811448,"Worcester city, Massachusetts"
2404000,Baltimore,MD,12580,"Baltimore-Columbia-Towson, MD",20.6,1.6,7.766990291262135,"Baltimore city, Maryland"
2419125,Columbia,MD,12580,"Baltimore-Columbia-Towson, MD",7.0,2.4,34.285714285714285,"Columbia CDP, Maryland"
2430325,Frederick,MD,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",12.6,2.8,22.22222222222222,"Frederick city, Maryland"
2431175,Gaithersburg,MD,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",12.7,4.2,33.07086614173229,"Gaithersburg city, Maryland"
